,,Spearman Correlation,p-value
Change,Embodiment,0.2547486060115216,2.584528941436928e-07
Change,Velocity_deviation,-0.25735659964538626,1.929054933206603e-07
Change,Walking_distance_deviation,-0.008439148545072677,0.8667139230207297
Change,RoM_ankle_r_deviation,-0.2098300606645122,2.4430084173136253e-05
Change,RoM_knee_r_deviation,-0.20710670279665033,3.127153461074119e-05
Embodiment,Change,0.2547486060115216,2.584528941436928e-07
Embodiment,Velocity_deviation,-0.025802246070443943,0.6077977045623936
Embodiment,Walking_distance_deviation,0.3723016711931635,1.5671076655907604e-14
Embodiment,RoM_ankle_r_deviation,0.2609158398309556,1.2874246061096656e-07
Embodiment,RoM_knee_r_deviation,0.34740894260824895,9.867065048310661e-13
Velocity_deviation,Change,-0.25735659964538626,1.929054933206603e-07
Velocity_deviation,Embodiment,-0.025802246070443943,0.6077977045623936
Velocity_deviation,Walking_distance_deviation,0.1806385261950617,0.0002920699707556654
Velocity_deviation,RoM_ankle_r_deviation,0.06718779785558728,0.18099801959577658
Velocity_deviation,RoM_knee_r_deviation,0.031177934710578704,0.5351311938670541
Walking_distance_deviation,Change,-0.008439148545072675,0.8667139230207297
Walking_distance_deviation,Embodiment,0.37230167119316343,1.5671076655907604e-14
Walking_distance_deviation,Velocity_deviation,0.1806385261950617,0.0002920699707556654
Walking_distance_deviation,RoM_ankle_r_deviation,0.23310191840090458,2.593314992529265e-06
Walking_distance_deviation,RoM_knee_r_deviation,0.06565999410461627,0.1911435222591711
RoM_ankle_r_deviation,Change,-0.2098300606645122,2.4430084173136253e-05
RoM_ankle_r_deviation,Embodiment,0.2609158398309556,1.2874246061096656e-07
RoM_ankle_r_deviation,Velocity_deviation,0.06718779785558728,0.18099801959577658
RoM_ankle_r_deviation,Walking_distance_deviation,0.23310191840090458,2.593314992529265e-06
RoM_ankle_r_deviation,RoM_knee_r_deviation,0.8331642302724014,6.437776719805374e-104
RoM_knee_r_deviation,Change,-0.20710670279665036,3.1271534610741296e-05
RoM_knee_r_deviation,Embodiment,0.34740894260824895,9.867065048310661e-13
RoM_knee_r_deviation,Velocity_deviation,0.031177934710578704,0.5351311938670541
RoM_knee_r_deviation,Walking_distance_deviation,0.06565999410461626,0.1911435222591711
RoM_knee_r_deviation,RoM_ankle_r_deviation,0.8331642302724014,6.437776719805374e-104
